ram,battery_power,0,1,2
"(257.999, 990.6]","(500.999, 776.6]",477.1,560.7,687.2
"(257.999, 990.6]","(776.6, 1068.0]",460.9,597.7,709.7
"(257.999, 990.6]","(1068.0, 1397.8]",548.1,633.3,775.7
"(257.999, 990.6]","(1397.8, 1686.0]",643.0,698.9,823.7
"(257.999, 990.6]","(1686.0, 1997.0]",648.5,783.5,813.1
"(990.6, 1757.2]","(500.999, 776.6]",597.2,726.3,774.5
"(990.6, 1757.2]","(776.6, 1068.0]",600.0,680.5,813.2
"(990.6, 1757.2]","(1068.0, 1397.8]",666.6,729.1,839.0
"(990.6, 1757.2]","(1397.8, 1686.0]",685.4,745.7,906.8
"(990.6, 1757.2]","(1686.0, 1997.0]",724.8,901.4,937.9
"(1757.2, 2473.0]","(500.999, 776.6]",646.4,713.6,835.7
"(1757.2, 2473.0]","(776.6, 1068.0]",624.2,753.5,918.5
"(1757.2, 2473.0]","(1068.0, 1397.8]",690.4,822.9,946.6
"(1757.2, 2473.0]","(1397.8, 1686.0]",702.9,890.2,952.2
"(1757.2, 2473.0]","(1686.0, 1997.0]",842.3,916.7,1082.6
"(2473.0, 3255.4]","(500.999, 776.6]",706.4,788.7,963.3
"(2473.0, 3255.4]","(776.6, 1068.0]",791.6,865.2,915.7
"(2473.0, 3255.4]","(1068.0, 1397.8]",827.7,885.6,1075.6
"(2473.0, 3255.4]","(1397.8, 1686.0]",804.0,951.5,1039.6
"(2473.0, 3255.4]","(1686.0, 1997.0]",884.8,1034.0,1053.2
"(3255.4, 3998.0]","(500.999, 776.6]",744.8,935.4,1038.7
"(3255.4, 3998.0]","(776.6, 1068.0]",795.1,1007.2,1057.8
"(3255.4, 3998.0]","(1068.0, 1397.8]",932.0,1010.7,1132.3
"(3255.4, 3998.0]","(1397.8, 1686.0]",1020.5,1145.6,1208.2
"(3255.4, 3998.0]","(1686.0, 1997.0]",1100.4,1131.8,1273.9
