,price_rate
price_rate,1.0
camera,0.5153092772867908
f_camera,0.3301372325924741
price_2,0.20398449549002298
price_transformation,0.1805685766737239
is_diff,0.11521760505715041
bluetooth_bin,0.053237700538780144
memory,0.051271436430804784
sc_w,0.050858474348955164
px_width,0.03476650446178749
speed_ord,0.03465654054475515
sc_h,0.029081814689743718
px_height,0.02761448573632246
wifi_ord,0.025602183524207987
ram,0.025239936291588924
screen_Touch,0.023460191420320194
screen_LCD,0.02346019142032018
talk_time,0.022265241861196314
gen_ord,0.018200419404560512
mobile_wt,0.017782463057951458
sim_Dual,0.016671617592253593
sim_Single,0.016671617592253565
price,0.01658620970485517
price_log,0.014447217245418578
cores_ord,0.012739808645831206
m_dep,0.012439196742392196
battery_power,0.007786478210582255
